Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2021,Ty France,SEA,152,650,18,85,73,0,7.1,16.3,0.154,0.327,0.291,0.368,0.445,0.353,130,-2.7,20.9,-11.7,3.1,17982
2021,Kris Bryant,- - -,144,586,25,86,73,10,10.6,23.0,0.216,0.313,0.265,0.353,0.481,0.356,124,5.4,23.0,-11.8,3.1,15429
2022,Matt Olson,ATL,162,699,34,86,103,0,10.7,24.3,0.237,0.274,0.240,0.325,0.477,0.344,120,-0.8,15.4,-9.4,3.1,14344
2021,Mark Canha,OAK,141,625,17,93,61,12,12.3,20.5,0.156,0.274,0.231,0.358,0.387,0.333,117,2.0,14.7,-5.2,3.1,11445
2022,Ryan McMahon,COL,153,597,20,67,67,7,10.1,26.5,0.168,0.311,0.246,0.327,0.414,0.326,95,2.1,-1.3,10.4,3.1,15112
2021,Josh Donaldson,MIN,135,543,26,73,72,0,13.6,21.0,0.228,0.268,0.247,0.352,0.475,0.353,126,-4.3,13.1,-1.3,3.0,5038
2021,Whit Merrifield,KCR,162,720,10,97,74,40,5.6,14.3,0.117,0.309,0.277,0.317,0.395,0.306,90,7.4,-1.3,6.9,3.0,11281
2021,Jonathan India,CIN,150,631,21,98,69,12,11.3,22.3,0.190,0.326,0.269,0.376,0.459,0.363,120,-0.9,15.4,-6.5,3.0,21523
2022,Ke'Bryan Hayes,PIT,136,560,7,55,41,20,8.6,21.8,0.101,0.307,0.244,0.314,0.345,0.294,88,0.9,-6.8,16.7,3.0,18577
2022,Nathaniel Lowe,TEX,157,645,27,74,76,2,7.4,22.8,0.191,0.363,0.302,0.358,0.492,0.368,143,-3.9,27.2,-19.1,3.0,19566
2022,Starling Marte,NYM,118,505,16,76,63,18,5.1,19.2,0.176,0.340,0.292,0.347,0.468,0.355,136,-0.2,20.8,-9.6,3.0,9241
2022,Brandon Drury,- - -,138,568,28,87,87,2,6.7,22.2,0.230,0.293,0.263,0.320,0.492,0.350,123,-3.6,11.4,-2.4,3.0,11615
2022,DJ LeMahieu,NYY,125,541,12,74,46,4,12.4,13.1,0.116,0.285,0.261,0.357,0.377,0.329,116,-4.0,6.0,4.9,3.0,9874
2021,Chris Taylor,LAD,148,582,20,92,73,13,10.8,28.7,0.183,0.337,0.254,0.344,0.438,0.338,113,6.5,15.9,-6.0,3.0,13757
2022,Bryan Reynolds,PIT,145,614,27,74,62,7,9.1,23.0,0.199,0.306,0.262,0.345,0.461,0.349,125,-2.1,16.0,-9.3,2.9,19326
2021,Avisail Garcia,MIL,135,515,29,68,86,8,7.4,23.5,0.228,0.291,0.262,0.330,0.490,0.346,116,-0.5,9.8,1.3,2.8,5760
2021,J.D. Martinez,BOS,148,634,28,92,99,0,8.7,23.7,0.232,0.340,0.286,0.349,0.518,0.364,127,-3.1,17.8,-11.4,2.8,6184
2022,Andrew Benintendi,- - -,126,521,5,54,51,8,10.0,14.8,0.095,0.352,0.304,0.373,0.399,0.342,122,0.6,13.5,-3.5,2.8,17901
2022,Mark Canha,NYM,140,542,13,71,61,3,8.9,17.9,0.136,0.309,0.266,0.367,0.403,0.343,128,-1.0,16.7,-8.3,2.8,11445
2022,Vladimir Guerrero Jr.,TOR,160,706,32,90,97,8,8.2,16.4,0.205,0.289,0.274,0.339,0.480,0.351,132,-6.0,19.2,-15.1,2.8,19611
2021,Tommy Edman,STL,159,691,11,91,56,30,5.5,13.7,0.125,0.291,0.262,0.308,0.387,0.301,90,8.0,-0.6,5.2,2.8,19470
2021,Trevor Story,COL,142,595,24,88,75,20,8.9,23.4,0.221,0.293,0.251,0.329,0.471,0.341,98,6.4,5.3,2.4,2.8,12564
2022,Jorge Mateo,BAL,150,533,13,63,50,35,5.1,27.6,0.158,0.286,0.221,0.267,0.379,0.281,82,5.8,-5.2,14.5,2.8,17273
2022,Randy Arozarena,TBR,153,645,20,72,89,32,7.1,24.2,0.183,0.325,0.263,0.327,0.445,0.336,125,-4.3,13.8,-8.3,2.7,19290
2022,Gleyber Torres,NYY,140,572,24,73,76,10,6.8,22.6,0.194,0.295,0.257,0.310,0.451,0.328,115,-0.2,9.8,-2.0,2.7,16997
2022,Thairo Estrada,SFG,140,541,14,71,62,21,6.1,16.5,0.139,0.290,0.260,0.322,0.400,0.317,106,2.4,6.2,1.5,2.7,16426
2021,Adam Duvall,- - -,146,555,38,67,113,5,6.3,31.4,0.263,0.260,0.228,0.281,0.491,0.324,103,-2.4,-0.6,9.0,2.7,10950
2021,Jose Abreu,CHW,152,659,30,86,117,1,9.3,21.7,0.219,0.293,0.261,0.351,0.481,0.354,125,-4.5,15.7,-11.4,2.7,15676
2022,Josh Rojas,ARI,125,510,9,66,56,23,10.8,19.2,0.122,0.323,0.269,0.349,0.391,0.326,108,6.2,11.2,-2.9,2.7,19734
2021,Kyle Seager,SEA,159,670,35,73,101,3,8.8,24.0,0.226,0.226,0.212,0.285,0.438,0.308,99,-1.9,-2.8,6.6,2.7,9785
2022,Kyle Schwarber,PHI,155,669,46,100,94,10,12.9,29.9,0.286,0.240,0.218,0.323,0.504,0.355,128,-0.8,21.2,-18.7,2.6,16478
2021,Dylan Carlson,STL,149,619,18,79,65,2,9.2,24.6,0.172,0.332,0.266,0.343,0.437,0.336,113,0.1,10.4,-5.1,2.6,20126
2021,Eduardo Escobar,- - -,146,599,28,77,90,1,8.0,20.7,0.219,0.279,0.253,0.314,0.472,0.334,107,0.4,5.9,-0.2,2.6,6153
2022,Hunter Renfroe,MIL,125,522,29,62,72,1,7.5,23.2,0.236,0.281,0.255,0.315,0.492,0.347,124,-1.6,12.9,-6.2,2.5,15464
