Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2021,Tommy Pham,SDP,155,561,15,74,49,14,13.9,22.8,0.154,0.280,0.229,0.340,0.383,0.318,102,1.1,2.4,-10.6,1.1,2967
2022,Carlos Santana,- - -,131,506,19,52,60,0,14.0,17.4,0.174,0.209,0.202,0.316,0.376,0.308,102,1.0,2.0,-8.3,1.0,2396
2022,J.D. Martinez,BOS,139,596,16,76,62,0,8.7,24.3,0.174,0.345,0.274,0.341,0.448,0.343,119,-7.3,5.8,-15.0,1.0,6184
2021,Miguel Sano,MIN,135,532,30,68,75,2,11.1,34.4,0.243,0.291,0.223,0.312,0.466,0.332,112,-2.2,5.5,-15.0,0.9,12164
2022,Trey Mancini,- - -,143,587,18,56,63,0,9.0,23.0,0.152,0.286,0.239,0.319,0.391,0.312,104,-3.0,-0.5,-10.1,0.9,15149
2022,Rowdy Tellez,MIL,153,599,35,67,89,2,10.4,20.2,0.242,0.215,0.219,0.306,0.461,0.327,110,-6.6,0.7,-12.9,0.8,15679
2021,David Fletcher,LAA,157,665,2,74,47,15,4.7,9.0,0.062,0.287,0.262,0.297,0.324,0.273,69,3.3,-21.8,6.8,0.8,17992
2021,Jed Lowrie,OAK,139,512,14,55,69,0,9.6,21.1,0.153,0.289,0.245,0.318,0.398,0.311,102,-1.6,-0.5,-9.9,0.7,4418
2021,Raimel Tapia,COL,133,533,6,69,50,20,7.5,13.1,0.099,0.306,0.273,0.327,0.372,0.305,75,3.7,-13.2,2.2,0.7,14350
2021,Trey Mancini,BAL,147,616,21,77,71,0,8.3,23.2,0.176,0.308,0.255,0.326,0.432,0.326,105,-5.3,-1.8,-12.8,0.6,15149
2022,Tommy Pham,- - -,144,622,17,89,63,8,9.0,26.8,0.137,0.304,0.236,0.312,0.374,0.304,89,1.9,-5.7,-8.9,0.6,2967
2021,Ryan Mountcastle,BAL,144,586,33,77,89,4,7.0,27.5,0.232,0.297,0.255,0.309,0.487,0.335,111,-1.2,6.6,-20.3,0.6,18373
2021,Eric Hosmer,SDP,151,565,12,53,65,5,8.5,17.5,0.126,0.313,0.269,0.337,0.395,0.319,103,-5.5,-3.6,-9.5,0.6,3516
2022,A.J. Pollock,CHW,138,527,14,61,56,3,6.1,18.6,0.143,0.278,0.245,0.292,0.389,0.297,92,-1.5,-6.0,-5.6,0.5,9256
2022,Cesar Hernandez,WSN,147,617,1,64,34,10,7.3,18.5,0.070,0.309,0.248,0.311,0.318,0.283,79,-0.8,-15.9,-0.6,0.5,10556
2021,Charlie Blackmon,COL,150,582,13,76,78,3,9.3,15.6,0.140,0.305,0.270,0.351,0.411,0.333,93,1.4,-3.6,-11.9,0.4,7859
2022,Jesse Winker,SEA,136,547,14,51,53,0,15.4,18.8,0.125,0.251,0.219,0.344,0.344,0.313,108,-4.3,1.0,-14.7,0.4,13590
2022,Andrew McCutchen,MIL,134,580,17,66,69,8,9.8,21.4,0.148,0.278,0.237,0.316,0.384,0.309,98,-4.1,-5.3,-11.3,0.3,9847
2021,Pavin Smith,ARI,145,545,11,68,49,1,7.7,19.4,0.137,0.319,0.267,0.328,0.404,0.318,96,-2.4,-4.8,-11.4,0.2,19892
2022,Luke Voit,- - -,135,568,22,55,69,1,9.7,31.5,0.176,0.298,0.226,0.308,0.402,0.311,102,-6.2,-5.0,-12.4,0.2,14811
2021,Randal Grichuk,TOR,149,545,22,59,81,0,5.0,20.9,0.182,0.266,0.241,0.281,0.423,0.300,85,-4.9,-14.7,-2.5,0.1,10243
2022,Charlie Blackmon,COL,135,577,16,60,78,4,5.5,18.9,0.155,0.304,0.264,0.314,0.419,0.317,89,1.4,-5.9,-12.3,0.1,7859
2021,Kevin Newman,PIT,148,554,5,50,39,6,4.9,7.4,0.083,0.236,0.226,0.265,0.309,0.249,53,5.1,-28.1,8.1,-0.1,17696
2021,Eugenio Suarez,CIN,145,574,31,71,79,0,9.8,29.8,0.230,0.224,0.198,0.286,0.428,0.306,84,-4.1,-16.1,-4.6,-0.1,12552
2022,MJ Melendez,KCR,129,534,18,57,62,2,12.4,24.5,0.176,0.258,0.217,0.313,0.393,0.310,99,-0.3,-1.1,-17.5,-0.2,22197
2022,Randal Grichuk,COL,141,538,19,60,73,4,4.5,23.6,0.166,0.309,0.259,0.299,0.425,0.315,88,-1.2,-9.0,-11.1,-0.2,10243
2021,Jorge Soler,- - -,149,602,27,74,70,0,11.1,23.6,0.209,0.250,0.223,0.316,0.432,0.323,100,-6.8,-6.4,-16.7,-0.3,14221
2022,Jesus Aguilar,- - -,129,507,16,39,51,1,5.5,23.5,0.144,0.278,0.235,0.281,0.379,0.288,86,-2.8,-10.7,-9.8,-0.4,11342
2022,Andrew Vaughn,CHW,134,555,17,60,76,0,5.6,17.3,0.159,0.301,0.271,0.321,0.429,0.327,113,-3.2,4.9,-26.7,-0.4,26197
2021,Carlos Santana,KCR,158,659,19,66,69,2,13.1,15.5,0.127,0.227,0.214,0.319,0.342,0.294,82,-0.8,-15.5,-11.5,-0.5,2396
2022,Marcell Ozuna,ATL,124,507,23,56,56,2,6.1,24.1,0.187,0.252,0.226,0.274,0.413,0.298,88,-2.6,-9.4,-13.0,-0.6,10324
2021,Miguel Cabrera,DET,130,526,15,48,75,0,7.6,22.4,0.129,0.305,0.256,0.316,0.386,0.305,94,-6.3,-10.4,-13.4,-0.6,1744
2022,Nick Castellanos,PHI,136,558,13,56,62,7,5.2,23.3,0.126,0.326,0.263,0.305,0.389,0.304,94,-2.8,-6.8,-19.0,-0.7,11737
2022,Nelson Cruz,WSN,124,507,10,50,64,4,9.7,23.5,0.103,0.295,0.234,0.313,0.337,0.292,85,-3.1,-11.9,-13.3,-0.8,2434
2022,Yuli Gurriel,HOU,146,584,8,53,53,8,5.1,12.5,0.117,0.266,0.242,0.288,0.360,0.285,85,-0.8,-11.0,-16.3,-0.9,19198
2021,Hunter Dozier,KCR,144,543,16,55,54,5,7.9,28.4,0.179,0.276,0.216,0.285,0.394,0.293,81,-1.4,-14.0,-14.7,-1.0,15117
