HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
MIA201307280 1 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 1 1,3,0,MIA,1,coleg001,1,0,-0.015987136062301892,NL
MIA201307280 2 0,3,2,PIT,0,fernj003,1,1,-0.03248285717953297,NL
MIA201307280 2 1,3,0,MIA,1,coleg001,0,0,-0.015987136062301892,NL
MIA201307280 3 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 3 1,3,0,MIA,1,coleg001,0,0,-0.015987136062301892,NL
MIA201307280 4 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 4 1,3,2,MIA,1,coleg001,3,2,-0.015987136062301892,NL
MIA201307280 5 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 5 1,3,0,MIA,1,coleg001,0,0,-0.015987136062301892,NL
MIA201307280 6 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 6 1,3,1,MIA,1,coleg001,0,0,-0.015987136062301892,NL
MIA201307280 7 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 7 1,3,0,MIA,1,coleg001,0,0,-0.015987136062301892,NL
MIA201307280 8 0,3,0,PIT,0,fernj003,0,0,-0.03248285717953297,NL
MIA201307280 8 1,3,0,MIA,1,mazzv001,0,0,-0.017162031746609848,NL
MIA201307280 9 0,3,0,PIT,0,cishs001,1,0,-0.019609777124646247,NL
MIA201307290 1 0,3,0,NYN,0,turnj002,0,0,-0.00244229114425507,NL
MIA201307290 1 1,3,0,MIA,1,hefnj001,0,0,0.01272787086136417,NL
MIA201307290 2 0,3,0,NYN,0,turnj002,0,0,-0.00244229114425507,NL
MIA201307290 2 1,3,0,MIA,1,hefnj001,0,0,0.01272787086136417,NL
MIA201307290 3 0,3,3,NYN,0,turnj002,3,2,-0.00244229114425507,NL
MIA201307290 3 1,3,0,MIA,1,hefnj001,1,0,0.01272787086136417,NL
MIA201307290 4 0,3,0,NYN,0,turnj002,1,0,-0.00244229114425507,NL
MIA201307290 4 1,3,3,MIA,1,hefnj001,3,3,0.01272787086136417,NL
MIA201307290 5 0,3,0,NYN,0,turnj002,1,0,-0.00244229114425507,NL
MIA201307290 5 1,3,0,MIA,1,hefnj001,0,0,0.01272787086136417,NL
MIA201307290 6 0,3,0,NYN,0,turnj002,0,0,-0.00244229114425507,NL
MIA201307290 6 1,3,2,MIA,1,hefnj001,3,2,0.01272787086136417,NL
MIA201307290 7 0,3,3,NYN,0,turnj002,3,2,-0.00244229114425507,NL
MIA201307290 7 1,3,0,MIA,1,edgij001,0,0,-0.006624201409741571,NL
MIA201307290 8 0,3,0,NYN,0,ramoa001,0,0,-0.005815492419990414,NL
MIA201307290 8 1,3,0,MIA,1,hawkl001,0,0,-0.008582931482613425,NL
MIA201307290 9 0,3,0,NYN,0,webbr001,0,0,-0.008114443062360985,NL
MIA201307290 9 1,3,0,MIA,1,parnb001,1,0,-0.009013363622442512,NL
MIA201307300 1 0,3,0,NYN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201307300 1 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 10 0,3,2,NYN,0,cishs001,5,2,-0.019609777124646247,NL
MIA201307300 10 1,3,0,MIA,1,parnb001,0,0,-0.009013363622442512,NL
MIA201307300 2 0,3,0,NYN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201307300 2 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 3 0,3,0,NYN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201307300 3 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 4 0,3,2,NYN,0,eovan001,2,1,-0.007985313786555629,NL
MIA201307300 4 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 5 0,3,0,NYN,0,eovan001,1,0,-0.007985313786555629,NL
MIA201307300 5 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 6 0,3,0,NYN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201307300 6 1,3,0,MIA,1,wheez001,0,0,-0.006833415452156084,NL
MIA201307300 7 0,3,0,NYN,0,jennd003,0,0,-0.002815521866487761,NL
MIA201307300 7 1,3,2,MIA,1,wheez001,3,2,-0.006833415452156084,NL
MIA201307300 8 0,3,0,NYN,0,qualc001,1,0,-0.01566258778876251,NL
MIA201307300 8 1,3,0,MIA,1,hawkl001,0,0,-0.008582931482613425,NL
MIA201307300 9 0,3,0,NYN,0,cishs001,0,0,-0.019609777124646247,NL
MIA201307300 9 1,3,0,MIA,1,atchs001,0,0,0.01362156318487056,NL
MIA201307310 1 0,3,0,NYN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201307310 1 1,3,0,MIA,1,mejij001,1,0,-0.004928287509835217,NL
MIA201307310 2 0,3,0,NYN,0,alvah001,1,0,-0.006930499689042433,NL
MIA201307310 2 1,3,1,MIA,1,mejij001,0,0,-0.004928287509835217,NL
MIA201307310 3 0,3,0,NYN,0,alvah001,1,0,-0.006930499689042433,NL
MIA201307310 3 1,3,2,MIA,1,mejij001,2,2,-0.004928287509835217,NL
MIA201307310 4 0,3,0,NYN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201307310 4 1,3,0,MIA,1,mejij001,0,0,-0.004928287509835217,NL
MIA201307310 5 0,3,0,NYN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201307310 5 1,3,0,MIA,1,mejij001,1,0,-0.004928287509835217,NL
MIA201307310 6 0,3,1,NYN,0,alvah001,1,0,-0.006930499689042433,NL
MIA201307310 6 1,3,0,MIA,1,mejij001,0,0,-0.004928287509835217,NL
MIA201307310 7 0,3,0,NYN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201307310 7 1,3,0,MIA,1,rices001,0,0,-0.01218589346477534,NL
MIA201307310 8 0,3,1,NYN,0,alvah001,2,1,-0.006930499689042433,NL
MIA201307310 8 1,3,0,MIA,1,torrc001,0,0,-0.009550268421019121,NL
MIA201307310 9 0,3,0,NYN,0,dunnm002,0,0,-0.009526801484942886,NL
MIA201308010 1 0,3,0,NYN,0,koeht001,1,0,0.0024498379840475286,NL
MIA201308010 1 1,3,0,MIA,1,harvm001,0,0,-0.033105900926877874,NL
MIA201308010 2 0,3,0,NYN,0,koeht001,0,0,0.0024498379840475286,NL
MIA201308010 2 1,3,0,MIA,1,harvm001,0,0,-0.033105900926877874,NL
MIA201308010 3 0,3,0,NYN,0,koeht001,2,0,0.0024498379840475286,NL
MIA201308010 3 1,3,0,MIA,1,harvm001,0,0,-0.033105900926877874,NL
MIA201308010 4 0,3,0,NYN,0,koeht001,1,0,0.0024498379840475286,NL
MIA201308010 4 1,3,0,MIA,1,harvm001,1,0,-0.033105900926877874,NL
MIA201308010 5 0,3,0,NYN,0,koeht001,1,0,0.0024498379840475286,NL
MIA201308010 5 1,3,0,MIA,1,harvm001,0,0,-0.033105900926877874,NL
MIA201308010 6 0,3,0,NYN,0,koeht001,1,0,0.0024498379840475286,NL
MIA201308010 6 1,3,3,MIA,1,harvm001,5,3,-0.033105900926877874,NL
MIA201308010 7 0,3,0,NYN,0,ramoa001,0,0,-0.005815492419990414,NL
MIA201308010 7 1,3,0,MIA,1,germg001,0,0,-9.90901643473148e-4,NL
MIA201308010 8 0,3,0,NYN,0,ramoa001,0,0,-0.005815492419990414,NL
MIA201308010 8 1,3,0,MIA,1,germg001,0,0,-9.90901643473148e-4,NL
MIA201308010 9 0,3,0,NYN,0,cishs001,0,0,-0.019609777124646247,NL
MIA201308020 1 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 1 1,3,3,MIA,1,jimeu001,4,3,-0.010017804550069377,NL
MIA201308020 2 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 2 1,3,1,MIA,1,jimeu001,3,1,-0.010017804550069377,NL
MIA201308020 3 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 3 1,3,1,MIA,1,jimeu001,1,1,-0.010017804550069377,NL
MIA201308020 4 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 4 1,3,0,MIA,1,jimeu001,2,0,-0.010017804550069377,NL
MIA201308020 5 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
