HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
MIA201308210 9 0,3,0,LAN,0,camia001,0,0,-0.006226527080555122,NL
MIA201308210 9 1,3,0,MIA,1,jansk001,1,0,-0.030678621393385352,NL
MIA201308220 1 0,3,0,LAN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308220 1 1,3,0,MIA,1,kersc001,1,0,-0.04109788835920291,NL
MIA201308220 2 0,3,0,LAN,0,alvah001,1,0,-0.006930499689042433,NL
MIA201308220 2 1,3,0,MIA,1,kersc001,1,0,-0.04109788835920291,NL
MIA201308220 3 0,3,0,LAN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308220 3 1,3,0,MIA,1,kersc001,1,0,-0.04109788835920291,NL
MIA201308220 4 0,3,3,LAN,0,alvah001,5,3,-0.006930499689042433,NL
MIA201308220 4 1,3,0,MIA,1,kersc001,0,0,-0.04109788835920291,NL
MIA201308220 5 0,3,2,LAN,0,alvah001,2,2,-0.006930499689042433,NL
