HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
ANA202104040 2 0,3,0,CHA,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202104040 2 1,3,0,ANA,1,ceasd001,0,0,-0.012029573021804367,AL
ANA202104040 3 0,3,0,CHA,0,ohtas001,1,0,-0.025611854579586122,AL
ANA202104040 3 1,3,0,ANA,1,ceasd001,0,0,-0.012029573021804367,AL
ANA202104040 4 0,3,0,CHA,0,ohtas001,1,0,-0.025611854579586122,AL
ANA202104040 4 1,3,1,ANA,1,ceasd001,2,1,-0.012029573021804367,AL
ANA202104040 5 0,3,3,CHA,0,ohtas001,3,3,-0.025611854579586122,AL
ANA202104040 5 1,3,1,ANA,1,ceasd001,0,0,-0.012029573021804367,AL
ANA202104040 6 0,3,0,CHA,0,cishs001,0,0,-0.0022417265702928723,AL
ANA202104040 6 1,3,0,ANA,1,heuec001,1,0,-0.010351183031805202,AL
ANA202104040 7 0,3,0,CHA,0,slega001,1,0,0.02078851963011013,AL
ANA202104040 7 1,3,0,ANA,1,bumma001,1,0,-0.0053978456705057395,AL
ANA202104040 8 0,3,0,CHA,0,slega001,0,0,0.02078851963011013,AL
ANA202104040 8 1,3,0,ANA,1,ruizj001,0,0,0.0028968898980878746,AL
ANA202104040 9 0,3,1,CHA,0,igler001,2,1,-0.015459394684157983,AL
ANA202104050 1 0,3,3,HOU,0,quinj001,4,3,0.01688786321129745,AL
ANA202104050 1 1,3,0,ANA,1,garcl007,0,0,-0.021253610813733753,AL
ANA202104050 2 0,3,0,HOU,0,quinj001,0,0,0.01688786321129745,AL
ANA202104050 2 1,3,0,ANA,1,garcl007,0,0,-0.021253610813733753,AL
ANA202104050 3 0,3,0,HOU,0,quinj001,0,0,0.01688786321129745,AL
ANA202104050 3 1,3,0,ANA,1,garcl007,0,0,-0.021253610813733753,AL
ANA202104050 4 0,3,1,HOU,0,quinj001,4,1,0.01688786321129745,AL
ANA202104050 4 1,3,2,ANA,1,garcl007,3,1,-0.021253610813733753,AL
ANA202104050 5 0,3,0,HOU,0,rodrc002,1,0,-0.006839124010167322,AL
ANA202104050 5 1,3,1,ANA,1,raleb001,2,1,0.009010852343495343,AL
ANA202104050 6 0,3,1,HOU,0,rodrc002,2,1,-0.006839124010167322,AL
ANA202104050 6 1,3,0,ANA,1,abreb002,0,0,0.01794785460830445,AL
ANA202104050 7 0,3,0,HOU,0,claua001,1,0,0.014577423393805208,AL
ANA202104050 7 1,3,0,ANA,1,abreb002,0,0,0.01794785460830445,AL
ANA202104050 8 0,3,0,HOU,0,cishs001,1,0,-0.0022417265702928723,AL
ANA202104050 8 1,3,4,ANA,1,smitj002,5,4,0.012652031723543808,AL
ANA202104050 9 0,3,1,HOU,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202104060 1 0,3,0,HOU,0,bundd001,1,0,0.017382633621367695,AL
ANA202104060 1 1,3,2,ANA,1,greiz001,2,1,-0.008173732592473395,AL
ANA202104060 2 0,3,2,HOU,0,bundd001,0,0,0.017382633621367695,AL
ANA202104060 2 1,3,0,ANA,1,greiz001,1,0,-0.008173732592473395,AL
ANA202104060 3 0,3,0,HOU,0,bundd001,0,0,0.017382633621367695,AL
ANA202104060 3 1,3,0,ANA,1,greiz001,0,0,-0.008173732592473395,AL
ANA202104060 4 0,3,0,HOU,0,bundd001,0,0,0.017382633621367695,AL
ANA202104060 4 1,3,0,ANA,1,greiz001,0,0,-0.008173732592473395,AL
ANA202104060 5 0,3,0,HOU,0,bundd001,0,0,0.017382633621367695,AL
ANA202104060 5 1,3,0,ANA,1,greiz001,0,0,-0.008173732592473395,AL
ANA202104060 6 0,3,0,HOU,0,bundd001,2,0,0.017382633621367695,AL
ANA202104060 6 1,3,0,ANA,1,greiz001,0,0,-0.008173732592473395,AL
ANA202104060 7 0,3,0,HOU,0,slega001,0,0,0.02078851963011013,AL
ANA202104060 7 1,3,0,ANA,1,greiz001,0,0,-0.008173732592473395,AL
ANA202104060 8 0,3,0,HOU,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202104060 8 1,3,0,ANA,1,presr001,0,0,-0.020689744801295873,AL
ANA202104060 9 0,3,2,HOU,0,igler001,0,0,-0.015459394684157983,AL
ANA202104060 9 1,3,0,ANA,1,presr001,0,0,-0.020689744801295873,AL
ANA202104160 1 0,3,0,MIN,0,heana001,0,0,0.010412709094583184,AL
ANA202104160 1 1,3,0,ANA,1,thorl002,0,0,0.00458871547291459,AL
ANA202104160 2 0,3,0,MIN,0,heana001,0,0,0.010412709094583184,AL
ANA202104160 2 1,3,0,ANA,1,thorl002,0,0,0.00458871547291459,AL
ANA202104160 3 0,3,0,MIN,0,heana001,0,0,0.010412709094583184,AL
ANA202104160 3 1,3,0,ANA,1,thorl002,0,0,0.00458871547291459,AL
ANA202104160 4 0,3,0,MIN,0,heana001,0,0,0.010412709094583184,AL
ANA202104160 4 1,3,2,ANA,1,thorl002,2,2,0.00458871547291459,AL
ANA202104160 5 0,3,0,MIN,0,heana001,0,0,0.010412709094583184,AL
ANA202104160 5 1,3,0,ANA,1,dobnr001,0,0,0.024700136748830266,AL
ANA202104160 6 0,3,3,MIN,0,heana001,3,2,0.010412709094583184,AL
ANA202104160 6 1,3,2,ANA,1,dobnr001,2,2,0.024700136748830266,AL
ANA202104160 7 0,3,0,MIN,0,mayem001,1,0,-0.0041672583334925834,AL
ANA202104160 7 1,3,6,ANA,1,dobnr001,3,3,0.024700136748830266,AL
ANA202104160 8 0,3,0,MIN,0,cishs001,0,0,-0.0022417265702928723,AL
ANA202104160 8 1,3,0,ANA,1,astuw001,0,0,-0.0026327301811320237,AL
ANA202104160 9 0,3,0,MIN,0,claua001,2,0,0.014577423393805208,AL
ANA202104190 1 0,3,0,TEX,0,bundd001,0,0,0.017382633621367695,AL
ANA202104190 1 1,3,0,ANA,1,arihk001,0,0,0.018622189386934877,AL
ANA202104190 2 0,3,0,TEX,0,bundd001,1,0,0.017382633621367695,AL
ANA202104190 2 1,3,0,ANA,1,arihk001,0,0,0.018622189386934877,AL
ANA202104190 3 0,3,1,TEX,0,bundd001,0,0,0.017382633621367695,AL
ANA202104190 3 1,3,0,ANA,1,arihk001,0,0,0.018622189386934877,AL
ANA202104190 4 0,3,0,TEX,0,bundd001,0,0,0.017382633621367695,AL
ANA202104190 4 1,3,0,ANA,1,arihk001,0,0,0.018622189386934877,AL
ANA202104190 5 0,3,0,TEX,0,bundd001,2,0,0.017382633621367695,AL
ANA202104190 5 1,3,0,ANA,1,arihk001,0,0,0.018622189386934877,AL
ANA202104190 6 0,3,5,TEX,0,bundd001,5,5,0.017382633621367695,AL
ANA202104190 6 1,3,0,ANA,1,arihk001,1,0,0.018622189386934877,AL
ANA202104190 7 0,3,0,TEX,0,claua001,0,0,0.014577423393805208,AL
ANA202104190 7 1,3,4,ANA,1,martb002,4,3,7.261106706159088e-4,AL
ANA202104190 8 0,3,0,TEX,0,claua001,0,0,0.014577423393805208,AL
ANA202104190 8 1,3,0,ANA,1,rodrj004,0,0,0.0039844998988939765,AL
ANA202104190 9 0,3,0,TEX,0,watst001,0,0,-0.017797422865352186,AL
ANA202104190 9 1,3,0,ANA,1,kenni001,1,0,-0.007307530079098073,AL
ANA202104200 1 0,3,0,TEX,0,ohtas001,2,0,-0.025611854579586122,AL
ANA202104200 1 1,3,0,ANA,1,lylej001,0,0,0.005237458808463612,AL
ANA202104200 2 0,3,0,TEX,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202104200 2 1,3,0,ANA,1,lylej001,0,0,0.005237458808463612,AL
ANA202104200 3 0,3,0,TEX,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202104200 3 1,3,1,ANA,1,lylej001,1,1,0.005237458808463612,AL
ANA202104200 4 0,3,0,TEX,0,ohtas001,1,0,-0.025611854579586122,AL
ANA202104200 4 1,3,1,ANA,1,lylej001,2,1,0.005237458808463612,AL
ANA202104200 5 0,3,0,TEX,0,canng001,0,0,0.010826448201049,AL
ANA202104200 5 1,3,0,ANA,1,lylej001,0,0,0.005237458808463612,AL
ANA202104200 6 0,3,1,TEX,0,canng001,0,0,0.010826448201049,AL
ANA202104200 6 1,3,1,ANA,1,lylej001,0,0,0.005237458808463612,AL
ANA202104200 7 0,3,1,TEX,0,canng001,1,1,0.010826448201049,AL
ANA202104200 7 1,3,3,ANA,1,heart001,0,0,-4.077341410148156e-5,AL
ANA202104200 8 0,3,0,TEX,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202104200 8 1,3,0,ANA,1,heart001,2,0,-4.077341410148156e-5,AL
ANA202104200 9 0,3,0,TEX,0,igler001,0,0,-0.015459394684157983,AL
ANA202104210 1 0,3,0,TEX,0,quinj001,0,0,0.01688786321129745,AL
ANA202104210 1 1,3,1,ANA,1,foltm001,0,0,0.009182878731792084,AL
ANA202104210 2 0,3,0,TEX,0,quinj001,0,0,0.01688786321129745,AL
ANA202104210 2 1,3,0,ANA,1,foltm001,0,0,0.009182878731792084,AL
ANA202104210 3 0,3,0,TEX,0,quinj001,1,0,0.01688786321129745,AL
ANA202104210 3 1,3,1,ANA,1,foltm001,0,0,0.009182878731792084,AL
ANA202104210 4 0,3,1,TEX,0,quinj001,2,1,0.01688786321129745,AL
ANA202104210 4 1,3,1,ANA,1,foltm001,1,0,0.009182878731792084,AL
ANA202104210 5 0,3,0,TEX,0,quinj001,0,0,0.01688786321129745,AL
ANA202104210 5 1,3,0,ANA,1,foltm001,0,0,0.009182878731792084,AL
ANA202104210 6 0,3,0,TEX,0,rodrc002,0,0,-0.006839124010167322,AL
ANA202104210 6 1,3,0,ANA,1,foltm001,0,0,0.009182878731792084,AL
ANA202104210 7 0,3,0,TEX,0,rodrc002,0,0,-0.006839124010167322,AL
ANA202104210 7 1,3,0,ANA,1,kingj002,2,0,-0.0034390377879350924,AL
ANA202104210 8 0,3,4,TEX,0,rodrc002,1,1,-0.006839124010167322,AL
ANA202104210 8 1,3,0,ANA,1,rodrj004,0,0,0.0039844998988939765,AL
ANA202104210 9 0,3,2,TEX,0,guerj003,4,2,0.015473209352396756,AL
ANA202104210 9 1,3,1,ANA,1,kenni001,0,0,-0.007307530079098073,AL
ANA202105030 1 0,3,0,TBA,0,quinj001,0,0,0.01688786321129745,AL
ANA202105030 1 1,3,0,ANA,1,glast001,1,0,-0.027450230895065465,AL
ANA202105030 2 0,3,0,TBA,0,quinj001,0,0,0.01688786321129745,AL
ANA202105030 2 1,3,0,ANA,1,glast001,1,0,-0.027450230895065465,AL
ANA202105030 3 0,3,4,TBA,0,quinj001,6,4,0.01688786321129745,AL
ANA202105030 3 1,3,0,ANA,1,glast001,1,0,-0.027450230895065465,AL
ANA202105030 4 0,3,1,TBA,0,quinj001,0,0,0.01688786321129745,AL
ANA202105030 4 1,3,0,ANA,1,glast001,0,0,-0.027450230895065465,AL
ANA202105030 5 0,3,0,TBA,0,hoytj001,1,0,0.017040293266598366,AL
ANA202105030 5 1,3,0,ANA,1,glast001,0,0,-0.027450230895065465,AL
ANA202105030 6 0,3,0,TBA,0,sandp002,1,0,-0.01529256103800409,AL
ANA202105030 6 1,3,3,ANA,1,glast001,0,0,-0.027450230895065465,AL
ANA202105030 7 0,3,0,TBA,0,sandp002,1,0,-0.01529256103800409,AL
ANA202105030 7 1,3,0,ANA,1,sprij001,0,0,-0.002794543913604113,AL
ANA202105030 8 0,3,0,TBA,0,guerj003,0,0,0.015473209352396756,AL
ANA202105030 8 1,3,0,ANA,1,sprij001,0,0,-0.002794543913604113,AL
ANA202105030 9 0,3,2,TBA,0,igler001,0,0,-0.015459394684157983,AL
ANA202105030 9 1,3,0,ANA,1,castd002,0,0,-0.01122481745177961,AL
ANA202105040 1 0,3,1,TBA,0,cobba001,1,0,-0.00732830654258893,AL
ANA202105040 1 1,3,0,ANA,1,mccls003,1,0,-0.02029550946596768,AL
ANA202105040 2 0,3,0,TBA,0,cobba001,1,0,-0.00732830654258893,AL
ANA202105040 2 1,3,0,ANA,1,mccls003,0,0,-0.02029550946596768,AL
ANA202105040 3 0,3,0,TBA,0,cobba001,0,0,-0.00732830654258893,AL
ANA202105040 3 1,3,0,ANA,1,mccls003,0,0,-0.02029550946596768,AL
ANA202105040 4 0,3,0,TBA,0,cobba001,2,0,-0.00732830654258893,AL
ANA202105040 4 1,3,0,ANA,1,mccls003,1,0,-0.02029550946596768,AL
ANA202105040 5 0,3,1,TBA,0,cobba001,1,1,-0.00732830654258893,AL
ANA202105040 5 1,3,0,ANA,1,patil001,0,0,-0.001336590171921305,AL
ANA202105040 6 0,3,2,TBA,0,cishs001,3,2,-0.0022417265702928723,AL
ANA202105040 6 1,3,1,ANA,1,patil001,0,0,-0.001336590171921305,AL
ANA202105040 7 0,3,1,TBA,0,roweb001,1,0,0.006673136216416214,AL
ANA202105040 7 1,3,0,ANA,1,patil001,0,0,-0.001336590171921305,AL
ANA202105040 8 0,3,3,TBA,0,roweb001,1,1,0.006673136216416214,AL
ANA202105040 8 1,3,2,ANA,1,reedc002,2,2,0.0016055367733006948,AL
ANA202105040 9 0,3,0,TBA,0,hoytj001,1,0,0.017040293266598366,AL
ANA202105040 9 1,3,0,ANA,1,strih001,0,0,-0.020615982577840794,AL
ANA202105050 1 0,3,0,TBA,0,ohtas001,1,0,-0.025611854579586122,AL
ANA202105050 1 1,3,0,ANA,1,kitta001,0,0,-0.013987053484175166,AL
ANA202105050 2 0,3,0,TBA,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202105050 2 1,3,0,ANA,1,kitta001,1,0,-0.013987053484175166,AL
ANA202105050 3 0,3,0,TBA,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202105050 3 1,3,1,ANA,1,yarbr001,3,1,0.010145704814933624,AL
ANA202105050 4 0,3,0,TBA,0,ohtas001,1,0,-0.025611854579586122,AL
ANA202105050 4 1,3,0,ANA,1,yarbr001,1,0,0.010145704814933624,AL
ANA202105050 5 0,3,0,TBA,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202105050 5 1,3,0,ANA,1,yarbr001,0,0,0.010145704814933624,AL
ANA202105050 6 0,3,0,TBA,0,ohtas001,2,0,-0.025611854579586122,AL
ANA202105050 6 1,3,0,ANA,1,yarbr001,0,0,0.010145704814933624,AL
ANA202105050 7 0,3,3,TBA,0,guerj003,2,1,0.015473209352396756,AL
ANA202105050 7 1,3,0,ANA,1,yarbr001,0,0,0.010145704814933624,AL
ANA202105050 8 0,3,0,TBA,0,slega001,1,0,0.02078851963011013,AL
ANA202105050 8 1,3,0,ANA,1,thomr007,1,0,-0.012199148524370368,AL
ANA202105050 9 0,3,0,TBA,0,claua001,0,0,0.014577423393805208,AL
ANA202105050 9 1,3,0,ANA,1,sprij001,0,0,-0.002794543913604113,AL
ANA202105060 1 0,3,0,TBA,0,heana001,1,0,0.010412709094583184,AL
ANA202105060 1 1,3,0,ANA,1,mchuc001,0,0,-0.023109044754172376,AL
ANA202105060 2 0,3,0,TBA,0,heana001,0,0,0.010412709094583184,AL
ANA202105060 2 1,3,0,ANA,1,mchuc001,0,0,-0.023109044754172376,AL
ANA202105060 3 0,3,0,TBA,0,heana001,1,0,0.010412709094583184,AL
ANA202105060 3 1,3,3,ANA,1,flemj001,3,2,0.0038023905738534176,AL
ANA202105060 4 0,3,0,TBA,0,heana001,1,0,0.010412709094583184,AL
ANA202105060 4 1,3,0,ANA,1,flemj001,0,0,0.0038023905738534176,AL
ANA202105060 5 0,3,0,TBA,0,heana001,0,0,0.010412709094583184,AL
ANA202105060 5 1,3,0,ANA,1,flemj001,1,0,0.0038023905738534176,AL
ANA202105060 6 0,3,0,TBA,0,heana001,0,0,0.010412709094583184,AL
ANA202105060 6 1,3,0,ANA,1,flemj001,0,0,0.0038023905738534176,AL
ANA202105060 7 0,3,1,TBA,0,heana001,0,0,0.010412709094583184,AL
ANA202105060 7 1,3,0,ANA,1,flemj001,0,0,0.0038023905738534176,AL
ANA202105060 8 0,3,7,TBA,0,mayem001,6,5,-0.0041672583334925834,AL
ANA202105060 8 1,3,0,ANA,1,strih001,0,0,-0.020615982577840794,AL
ANA202105060 9 0,3,0,TBA,0,cishs001,0,0,-0.0022417265702928723,AL
ANA202105060 9 1,3,0,ANA,1,reedc002,0,0,0.0016055367733006948,AL
ANA202105070 1 0,3,0,LAN,0,canng001,1,0,0.010826448201049,NL
ANA202105070 1 1,3,0,ANA,1,uriaj001,0,0,-0.02768939329759024,AL
ANA202105070 2 0,3,1,LAN,0,canng001,2,1,0.010826448201049,NL
ANA202105070 2 1,3,4,ANA,1,uriaj001,2,2,-0.02768939329759024,AL
ANA202105070 3 0,3,0,LAN,0,canng001,0,0,0.010826448201049,NL
ANA202105070 3 1,3,0,ANA,1,uriaj001,0,0,-0.02768939329759024,AL
ANA202105070 4 0,3,0,LAN,0,canng001,0,0,0.010826448201049,NL
ANA202105070 4 1,3,0,ANA,1,uriaj001,0,0,-0.02768939329759024,AL
ANA202105070 5 0,3,0,LAN,0,canng001,2,0,0.010826448201049,NL
ANA202105070 5 1,3,1,ANA,1,uriaj001,2,0,-0.02768939329759024,AL
ANA202105070 6 0,3,0,LAN,0,canng001,2,0,0.010826448201049,NL
ANA202105070 6 1,3,4,ANA,1,kellj001,5,4,-0.015751194566914224,AL
ANA202105070 7 0,3,0,LAN,0,sandp002,1,0,-0.01529256103800409,NL
ANA202105070 7 1,3,0,ANA,1,ucete001,0,0,0.012270018856386606,AL
ANA202105070 8 0,3,0,LAN,0,sandp002,1,0,-0.01529256103800409,NL
ANA202105070 8 1,3,0,ANA,1,ucete001,0,0,0.012270018856386606,AL
ANA202105070 9 0,3,1,LAN,0,sandp002,0,0,-0.01529256103800409,NL
ANA202105080 1 0,3,0,LAN,0,bundd001,0,0,0.017382633621367695,NL
ANA202105080 1 1,3,0,ANA,1,kersc001,0,0,-0.015062498291337047,AL
ANA202105080 2 0,3,0,LAN,0,bundd001,0,0,0.017382633621367695,NL
ANA202105080 2 1,3,0,ANA,1,kersc001,0,0,-0.015062498291337047,AL
ANA202105080 3 0,3,0,LAN,0,bundd001,0,0,0.017382633621367695,NL
ANA202105080 3 1,3,0,ANA,1,kersc001,0,0,-0.015062498291337047,AL
ANA202105080 4 0,3,8,LAN,0,bundd001,8,8,0.017382633621367695,NL
ANA202105080 4 1,3,0,ANA,1,kersc001,1,0,-0.015062498291337047,AL
ANA202105080 5 0,3,5,LAN,0,penaf002,6,5,0.015372199962659996,NL
ANA202105080 5 1,3,0,ANA,1,kersc001,0,0,-0.015062498291337047,AL
ANA202105080 6 0,3,0,LAN,0,claua001,0,0,0.014577423393805208,NL
ANA202105080 6 1,3,4,ANA,1,santd003,5,4,0.0027021830867384206,AL
ANA202105080 7 0,3,1,LAN,0,mayem001,1,1,-0.0041672583334925834,NL
ANA202105080 7 1,3,7,ANA,1,whitm004,4,4,0.007472422763663242,AL
ANA202105080 8 0,3,0,LAN,0,guerj003,2,0,0.015473209352396756,NL
ANA202105080 8 1,3,0,ANA,1,gonzv001,0,0,-0.003685503637025813,AL
ANA202105080 9 0,3,0,LAN,0,igler001,2,0,-0.015459394684157983,NL
ANA202105080 9 1,3,0,ANA,1,treib001,0,0,-0.02709210044276986,AL
ANA202105090 1 0,3,0,LAN,0,quinj001,2,0,0.01688786321129745,NL
ANA202105090 1 1,3,0,ANA,1,bauet001,1,0,-0.02454199132685865,AL
ANA202105090 2 0,3,0,LAN,0,quinj001,0,0,0.01688786321129745,NL
ANA202105090 2 1,3,0,ANA,1,bauet001,0,0,-0.02454199132685865,AL
ANA202105090 3 0,3,1,LAN,0,quinj001,2,1,0.01688786321129745,NL
ANA202105090 3 1,3,2,ANA,1,bauet001,4,2,-0.02454199132685865,AL
ANA202105090 4 0,3,0,LAN,0,quinj001,0,0,0.01688786321129745,NL
ANA202105090 4 1,3,0,ANA,1,bauet001,0,0,-0.02454199132685865,AL
ANA202105090 5 0,3,0,LAN,0,quinj001,1,0,0.01688786321129745,NL
ANA202105090 5 1,3,0,ANA,1,bauet001,0,0,-0.02454199132685865,AL
ANA202105090 6 0,3,0,LAN,0,slega001,1,0,0.02078851963011013,NL
ANA202105090 6 1,3,0,ANA,1,bauet001,0,0,-0.02454199132685865,AL
ANA202105090 7 0,3,0,LAN,0,watst001,0,0,-0.017797422865352186,NL
ANA202105090 7 1,3,0,ANA,1,gonzv001,0,0,-0.003685503637025813,AL
ANA202105090 8 0,3,0,LAN,0,mayem001,0,0,-0.0041672583334925834,NL
ANA202105090 8 1,3,0,ANA,1,jansk001,2,0,-0.02182894179632701,AL
ANA202105090 9 0,3,0,LAN,0,igler001,1,0,-0.015459394684157983,NL
ANA202105170 1 0,3,1,CLE,0,sandp002,0,0,-0.01529256103800409,AL
ANA202105170 1 1,3,1,ANA,1,hents001,2,1,0.022359136580085526,AL
ANA202105170 2 0,3,0,CLE,0,sandp002,1,0,-0.01529256103800409,AL
ANA202105170 2 1,3,5,ANA,1,hents001,3,2,0.022359136580085526,AL
ANA202105170 3 0,3,1,CLE,0,sandp002,1,1,-0.01529256103800409,AL
ANA202105170 3 1,3,0,ANA,1,stept002,0,0,-0.0021489148161898796,AL
ANA202105170 4 0,3,0,CLE,0,sandp002,0,0,-0.01529256103800409,AL
ANA202105170 4 1,3,0,ANA,1,stept002,1,0,-0.0021489148161898796,AL
ANA202105170 5 0,3,0,CLE,0,sandp002,1,0,-0.01529256103800409,AL
ANA202105170 5 1,3,0,ANA,1,sandn001,0,0,-0.008673456065909522,AL
ANA202105170 6 0,3,1,CLE,0,strih001,2,0,-0.020615982577840794,AL
ANA202105170 6 1,3,0,ANA,1,sandn001,0,0,-0.008673456065909522,AL
ANA202105170 7 0,3,0,CLE,0,claua001,0,0,0.014577423393805208,AL
ANA202105170 7 1,3,1,ANA,1,quanc001,3,1,-0.026578103632685493,AL
ANA202105170 8 0,3,1,CLE,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202105170 8 1,3,0,ANA,1,wittn001,0,0,0.004032498165202518,AL
ANA202105170 9 0,3,0,CLE,0,igler001,0,0,-0.015459394684157983,AL
ANA202105180 1 0,3,5,CLE,0,heana001,4,3,0.010412709094583184,AL
ANA202105180 1 1,3,1,ANA,1,plesz001,0,0,-4.128815439768961e-4,AL
ANA202105180 2 0,3,0,CLE,0,heana001,1,0,0.010412709094583184,AL
ANA202105180 2 1,3,0,ANA,1,plesz001,0,0,-4.128815439768961e-4,AL
ANA202105180 3 0,3,0,CLE,0,heana001,0,0,0.010412709094583184,AL
ANA202105180 3 1,3,0,ANA,1,plesz001,0,0,-4.128815439768961e-4,AL
ANA202105180 4 0,3,0,CLE,0,heana001,0,0,0.010412709094583184,AL
ANA202105180 4 1,3,3,ANA,1,plesz001,1,1,-4.128815439768961e-4,AL
ANA202105180 5 0,3,0,CLE,0,barrj003,0,0,-3.0571136251674147e-4,AL
ANA202105180 5 1,3,0,ANA,1,plesz001,1,0,-4.128815439768961e-4,AL
ANA202105180 6 0,3,0,CLE,0,barrj003,0,0,-3.0571136251674147e-4,AL
