HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
ANA202104010 1 0,3,0,CHA,0,bundd001,0,0,0.017382633621367695,AL
ANA202104010 1 1,3,0,ANA,1,gioll001,0,0,-0.019637436541298875,AL
ANA202104010 2 0,3,1,CHA,0,bundd001,1,1,0.017382633621367695,AL
ANA202104010 2 1,3,0,ANA,1,gioll001,0,0,-0.019637436541298875,AL
ANA202104010 3 0,3,0,CHA,0,bundd001,0,0,0.017382633621367695,AL
ANA202104010 3 1,3,0,ANA,1,gioll001,0,0,-0.019637436541298875,AL
ANA202104010 4 0,3,0,CHA,0,bundd001,2,0,0.017382633621367695,AL
ANA202104010 4 1,3,1,ANA,1,gioll001,2,1,-0.019637436541298875,AL
ANA202104010 5 0,3,2,CHA,0,bundd001,0,0,0.017382633621367695,AL
ANA202104010 5 1,3,1,ANA,1,gioll001,0,0,-0.019637436541298875,AL
ANA202104010 6 0,3,0,CHA,0,bundd001,0,0,0.017382633621367695,AL
ANA202104010 6 1,3,0,ANA,1,gioll001,1,0,-0.019637436541298875,AL
ANA202104010 7 0,3,0,CHA,0,slega001,0,0,0.02078851963011013,AL
ANA202104010 7 1,3,0,ANA,1,heuec001,0,0,-0.010351183031805202,AL
ANA202104010 8 0,3,0,CHA,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202104010 8 1,3,2,ANA,1,bumma001,4,2,-0.0053978456705057395,AL
ANA202104010 9 0,3,0,CHA,0,igler001,0,0,-0.015459394684157983,AL
ANA202104020 1 0,3,0,CHA,0,heana001,0,0,0.010412709094583184,AL
ANA202104020 1 1,3,1,ANA,1,keucd001,1,1,0.013467980200860511,AL
ANA202104020 2 0,3,0,CHA,0,heana001,0,0,0.010412709094583184,AL
ANA202104020 2 1,3,0,ANA,1,keucd001,0,0,0.013467980200860511,AL
ANA202104020 3 0,3,4,CHA,0,heana001,2,2,0.010412709094583184,AL
ANA202104020 3 1,3,0,ANA,1,keucd001,0,0,0.013467980200860511,AL
ANA202104020 4 0,3,3,CHA,0,heana001,4,3,0.010412709094583184,AL
ANA202104020 4 1,3,3,ANA,1,keucd001,1,1,0.013467980200860511,AL
ANA202104020 5 0,3,0,CHA,0,guerj003,0,0,0.015473209352396756,AL
ANA202104020 5 1,3,2,ANA,1,keucd001,2,1,0.013467980200860511,AL
ANA202104020 6 0,3,0,CHA,0,rodrc002,0,0,-0.006839124010167322,AL
ANA202104020 6 1,3,0,ANA,1,kopem001,0,0,-0.00986516389882675,AL
ANA202104020 7 0,3,0,CHA,0,rodrc002,1,0,-0.006839124010167322,AL
ANA202104020 7 1,3,0,ANA,1,kopem001,0,0,-0.00986516389882675,AL
ANA202104020 8 0,3,0,CHA,0,mayem001,0,0,-0.0041672583334925834,AL
ANA202104020 8 1,3,0,ANA,1,kopem001,1,0,-0.00986516389882675,AL
ANA202104020 9 0,3,5,CHA,0,igler001,3,2,-0.015459394684157983,AL
ANA202104020 9 1,3,2,ANA,1,hendl001,2,1,-0.023204332858172166,AL
ANA202104030 1 0,3,0,CHA,0,cobba001,0,0,-0.00732830654258893,AL
ANA202104030 1 1,3,0,ANA,1,lynnl001,1,0,-0.029659522139657134,AL
ANA202104030 2 0,3,1,CHA,0,cobba001,0,0,-0.00732830654258893,AL
ANA202104030 2 1,3,0,ANA,1,lynnl001,0,0,-0.029659522139657134,AL
ANA202104030 3 0,3,0,CHA,0,cobba001,1,0,-0.00732830654258893,AL
ANA202104030 3 1,3,2,ANA,1,lynnl001,1,1,-0.029659522139657134,AL
ANA202104030 4 0,3,1,CHA,0,cobba001,2,1,-0.00732830654258893,AL
ANA202104030 4 1,3,0,ANA,1,lynnl001,0,0,-0.029659522139657134,AL
ANA202104030 5 0,3,0,CHA,0,cobba001,0,0,-0.00732830654258893,AL
ANA202104030 5 1,3,0,ANA,1,lynnl001,2,0,-0.029659522139657134,AL
ANA202104030 6 0,3,1,CHA,0,cobba001,3,1,-0.00732830654258893,AL
ANA202104030 6 1,3,0,ANA,1,crocg001,0,0,-0.007366220315514098,AL
ANA202104030 7 0,3,0,CHA,0,watst001,0,0,-0.017797422865352186,AL
ANA202104030 7 1,3,0,ANA,1,crocg001,0,0,-0.007366220315514098,AL
ANA202104030 8 0,3,0,CHA,0,watst001,0,0,-0.017797422865352186,AL
ANA202104030 8 1,3,3,ANA,1,marse001,1,1,0.004768520397436136,AL
ANA202104030 9 0,3,0,CHA,0,guerj003,0,0,0.015473209352396756,AL
ANA202104040 1 0,3,0,CHA,0,ohtas001,0,0,-0.025611854579586122,AL
ANA202104040 1 1,3,2,ANA,1,ceasd001,2,1,-0.012029573021804367,AL
